vehicle_id,fuel_type,fuel_consumed,distance_travelled,mileage,average_mileage,deviation,current_mileage,threshold,mileage_drop,fuel_spam_detection_label
VH102839,CNG,69.79,720.98,10.33,13.07,-4.24,8.83,10.46,Yes,1
VH107914,Diesel,68.26,690.9,10.12,9.06,6.49,15.55,7.25,No,0
VH102969,Petrol,71.82,165.21,2.3,-2.31,2.52,0.21,-1.85,No,0
VH109610,Petrol,32.49,656.41,20.2,18.08,7.48,25.56,14.46,No,0
VH107888,CNG,76.39,732.2,9.59,12.53,1.1,13.63,10.02,No,0
VH109483,CNG,34.13,374.39,10.97,14.01,-5.82,8.19,11.21,Yes,1
VH101264,Diesel,67.72,203.37,3.0,2.48,-2.94,-0.46,1.98,Yes,1
VH101244,CNG,61.04,551.72,9.04,8.4,-2.48,5.92,6.72,Yes,1
VH103293,Petrol,16.77,471.83,28.14,26.72,-0.82,25.9,21.38,No,0
VH100999,CNG,13.65,906.88,66.44,65.9,-1.56,64.34,52.72,No,0
VH105916,Petrol,10.3,695.88,67.56,65.35,2.74,68.09,52.28,No,0
VH100742,Diesel,66.93,919.44,13.74,14.18,-2.61,11.57,11.34,No,0
VH109155,CNG,66.93,345.51,5.16,7.61,-3.98,3.63,6.09,Yes,1
VH109111,CNG,49.01,264.0,5.39,7.5,-0.99,6.51,6.0,No,0
VH100445,CNG,17.53,353.95,20.19,23.32,1.26,24.58,18.66,No,0
VH109177,Petrol,47.74,859.97,18.01,19.71,-4.49,15.22,15.77,Yes,1
VH105272,Petrol,78.38,601.61,7.68,4.21,4.42,8.63,3.37,No,0
VH101269,Diesel,51.78,350.73,6.77,6.21,-1.29,4.92,4.97,Yes,1
VH102691,Petrol,70.73,302.13,4.27,0.6,-0.36,0.24,0.48,Yes,1
VH107423,Petrol,38.35,109.79,2.86,-1.01,0.7,-0.31,-0.81,No,0
VH104428,CNG,35.73,381.65,10.68,10.13,-1.47,8.66,8.1,No,0
VH101326,Petrol,76.16,213.63,2.81,6.15,-4.57,1.58,4.92,Yes,1
VH105138,Diesel,46.24,778.81,16.84,14.05,4.79,18.84,11.24,No,0
VH102405,Petrol,18.91,678.34,35.87,35.81,4.25,40.06,28.65,No,0
VH106191,Diesel,13.97,373.25,26.72,28.25,-6.71,21.54,22.6,Yes,1
VH105915,Petrol,7.98,622.35,77.99,81.51,-3.98,77.53,65.21,No,0
VH101533,Petrol,2.71,177.74,65.59,63.5,2.63,66.13,50.8,No,0
VH102665,Petrol,23.64,144.58,6.12,8.58,-1.87,6.71,6.86,Yes,1
VH108656,Petrol,30.2,246.82,8.17,11.47,-7.09,4.38,9.18,Yes,1
VH108858,CNG,42.89,195.99,4.57,3.89,2.82,6.71,3.11,No,0
VH100224,Diesel,33.2,25.82,0.78,3.36,-2.21,1.15,2.69,Yes,1
VH100205,Petrol,31.42,413.19,13.15,12.89,4.95,17.84,10.31,No,0
VH106396,Petrol,61.56,637.8,10.36,9.9,4.73,14.63,7.92,No,0
VH107496,Diesel,53.14,870.34,16.38,18.57,-0.73,17.84,14.86,No,0
VH106901,Petrol,78.04,231.14,2.96,1.51,9.31,10.82,1.21,No,0
VH100179,CNG,73.23,97.56,1.33,1.47,-6.23,-4.76,1.18,Yes,1
VH107409,Petrol,78.38,536.0,6.84,8.43,-2.14,6.29,6.74,Yes,1
VH102852,CNG,63.64,621.24,9.76,10.21,-3.15,7.06,8.17,Yes,1
VH106078,Petrol,12.24,79.88,6.53,10.43,-4.39,6.04,8.34,Yes,1
VH108011,CNG,51.71,536.13,10.37,10.15,-2.79,7.36,8.12,Yes,1
VH107798,Diesel,54.57,796.68,14.6,14.6,-1.6,13.0,11.68,No,0
VH109401,Diesel,35.53,90.18,2.54,7.31,-3.37,3.94,5.85,Yes,1
VH103753,Petrol,15.54,151.0,9.72,9.98,-1.39,8.59,7.98,No,0
VH106070,Diesel,22.88,150.2,6.56,10.47,-3.7,6.77,8.38,Yes,1
VH106335,Petrol,46.13,665.77,14.43,17.19,0.7,17.89,13.75,No,0
VH106013,CNG,21.79,90.49,4.15,1.71,-1.43,0.28,1.37,Yes,1
VH100898,CNG,76.28,60.25,0.79,-1.44,-0.11,-1.55,-1.15,Yes,1
VH100181,CNG,66.71,192.34,2.88,2.63,3.54,6.17,2.1,No,0
VH102919,Diesel,34.05,884.41,25.97,26.65,-4.9,21.75,21.32,No,0
VH105622,Petrol,49.95,611.85,12.25,14.9,-7.83,7.07,11.92,Yes,1
VH105949,Petrol,79.97,303.14,3.79,6.29,-8.53,-2.24,5.03,Yes,1
VH102043,CNG,13.75,724.33,52.68,50.63,-2.07,48.56,40.5,No,0
VH104147,CNG,33.76,892.35,26.43,24.41,4.83,29.24,19.53,No,0
VH102865,CNG,77.91,80.8,1.04,1.43,-3.69,-2.26,1.14,Yes,1
VH106902,Diesel,55.13,863.0,15.65,16.75,-3.91,12.84,13.4,Yes,1
VH103030,CNG,29.57,517.62,17.5,19.23,1.22,20.45,15.38,No,0
VH101108,Diesel,17.29,65.52,3.79,1.28,4.87,6.15,1.02,No,0
VH106669,Diesel,3.65,372.89,102.16,103.59,-1.72,101.87,82.87,No,0
VH108607,Petrol,55.33,632.51,11.43,10.92,-4.39,6.53,8.74,Yes,1
VH101868,Petrol,47.09,229.45,4.87,6.8,-7.75,-0.95,5.44,Yes,1
VH102839,CNG,69.79,720.98,10.33,13.07,-4.24,8.83,10.46,Yes,1
VH102334,Petrol,29.48,216.63,7.35,5.22,2.79,8.01,4.18,No,0
VH103950,Petrol,23.41,971.43,41.5,42.1,-3.51,38.59,33.68,No,0
VH108223,Petrol,71.98,235.96,3.28,2.96,-4.27,-1.31,2.37,Yes,1
VH101816,Diesel,20.37,345.43,16.96,18.98,-4.06,14.92,15.18,Yes,1
VH109983,CNG,31.19,512.35,16.43,17.24,-2.69,14.55,13.79,No,0
VH104360,Diesel,42.57,76.99,1.81,1.81,-2.38,-0.57,1.45,Yes,1
VH101113,CNG,44.5,998.21,22.43,23.73,0.8,24.53,18.98,No,0
VH107295,CNG,71.52,176.06,2.46,5.89,-4.87,1.02,4.71,Yes,1
VH105697,Petrol,39.28,670.05,17.06,16.19,-2.06,14.13,12.95,No,0
VH105293,CNG,54.82,913.32,16.66,19.01,-5.06,13.95,15.21,Yes,1
VH105354,Petrol,35.97,931.36,25.89,29.56,-9.37,20.19,23.65,Yes,1
VH106646,Diesel,29.49,850.32,28.83,29.78,-1.66,28.12,23.82,No,0
VH105762,CNG,56.99,480.26,8.43,7.16,-1.5,5.66,5.73,Yes,1
VH108388,Petrol,50.9,497.85,9.78,9.38,-3.66,5.72,7.5,Yes,1
VH109362,CNG,53.45,835.09,15.62,17.8,-4.31,13.49,14.24,Yes,1
VH108053,Petrol,47.18,694.92,14.73,12.55,2.4,14.95,10.04,No,0
VH108467,Petrol,67.79,392.38,5.79,8.76,-1.79,6.97,7.01,Yes,1
VH105189,CNG,12.63,59.64,4.72,9.6,-6.21,3.39,7.68,Yes,1
VH105657,CNG,44.03,497.09,11.29,9.35,-2.11,7.24,7.48,Yes,1
VH107863,Diesel,33.25,316.99,9.53,8.09,-1.2,6.89,6.47,No,0
VH102730,CNG,43.14,490.57,11.37,14.9,-6.19,8.71,11.92,Yes,1
VH105125,Diesel,66.05,202.01,3.06,0.5,0.79,1.29,0.4,No,0
VH109591,CNG,79.59,624.95,7.85,9.88,4.25,14.13,7.9,No,0
VH105920,Petrol,57.91,943.36,16.29,17.01,0.07,17.08,13.61,No,0
VH103204,CNG,53.8,63.42,1.18,2.81,2.58,5.39,2.25,No,0
VH108528,CNG,44.72,339.92,7.6,6.95,-2.1,4.85,5.56,Yes,1
VH102605,CNG,54.28,403.77,7.44,8.03,-8.28,-0.25,6.42,Yes,1
VH106068,Petrol,41.72,329.51,7.9,8.01,-2.77,5.24,6.41,Yes,1
VH100009,Diesel,35.57,219.1,6.16,7.99,-1.92,6.07,6.39,Yes,1
VH104296,Diesel,70.31,507.77,7.22,8.64,1.68,10.32,6.91,No,0
VH101079,Petrol,29.81,88.42,2.97,6.99,-3.16,3.83,5.59,Yes,1
VH100000,CNG,32.7,509.68,15.59,16.43,-5.25,11.18,13.14,Yes,1
VH108425,CNG,64.16,894.53,13.94,11.74,3.66,15.4,9.39,No,0
VH109846,CNG,30.43,860.7,28.28,24.47,2.32,26.79,19.58,No,0
VH103742,CNG,35.68,669.58,18.77,17.79,1.64,19.43,14.23,No,0
VH107755,Diesel,67.29,703.2,10.45,15.87,-5.88,9.99,12.7,Yes,1
VH102205,Petrol,16.32,533.38,32.68,31.67,0.29,31.96,25.34,No,0
VH108038,CNG,51.49,107.91,2.1,2.78,-3.27,-0.49,2.22,Yes,1
VH105152,Petrol,23.86,248.64,10.42,6.42,5.25,11.67,5.14,No,0
VH107608,Petrol,69.57,596.56,8.57,10.09,-0.04,10.05,8.07,No,0
VH101369,Diesel,66.76,75.58,1.13,-0.69,-0.62,-1.31,-0.55,Yes,1
VH102554,Petrol,51.19,922.86,18.03,21.59,-4.65,16.94,17.27,Yes,1
VH101921,Petrol,5.78,179.6,31.07,32.21,-2.01,30.2,25.77,No,0
VH108325,CNG,5.94,206.86,34.82,35.07,2.3,37.37,28.06,No,0
VH108058,Petrol,66.03,232.66,3.52,7.08,-5.84,1.24,5.66,Yes,1
VH105854,CNG,23.89,920.3,38.52,41.69,-1.66,40.03,33.35,No,0
VH103618,Petrol,3.17,389.57,122.89,122.33,-1.77,120.56,97.86,No,0
VH102452,Diesel,22.89,550.0,24.03,24.25,-0.1,24.15,19.4,No,0
VH102260,Petrol,21.99,765.18,34.8,34.8,-2.35,32.45,27.84,No,0
VH100086,Diesel,61.96,811.35,13.09,12.28,0.76,13.04,9.82,No,0
VH108863,Petrol,71.01,194.5,2.74,-0.34,2.28,1.94,-0.27,No,0
VH102819,Diesel,46.21,245.27,5.31,11.18,-2.52,8.66,8.94,Yes,1
VH108685,CNG,15.99,290.96,18.2,18.2,3.98,22.18,14.56,No,0
VH103021,Diesel,67.66,284.44,4.2,5.83,-1.4,4.43,4.66,Yes,1
VH107954,Diesel,34.82,308.1,8.85,5.68,-4.58,1.1,4.54,Yes,1
VH106753,CNG,18.82,211.8,11.25,9.07,-3.82,5.25,7.26,Yes,1
VH104687,Petrol,25.25,422.0,16.71,19.79,-2.1,17.69,15.83,No,0
VH109645,Petrol,28.07,847.16,30.18,33.37,-9.14,24.23,26.7,Yes,1
VH109787,Petrol,43.98,778.92,17.71,19.92,-3.34,16.58,15.94,No,0
VH103715,Diesel,67.93,719.02,10.58,10.63,-2.28,8.35,8.5,Yes,1
VH108322,Diesel,46.57,162.51,3.49,3.53,-1.47,2.06,2.82,Yes,1
VH104134,CNG,62.58,318.9,5.1,7.3,-5.53,1.77,5.84,Yes,1
VH106856,Petrol,43.49,156.6,3.6,0.58,5.18,5.76,0.46,No,0
VH103861,Diesel,65.73,587.78,8.94,9.06,-1.32,7.74,7.25,No,0
VH106461,Diesel,8.33,666.33,79.99,80.15,-1.17,78.98,64.12,No,0
VH107940,CNG,24.04,337.34,14.03,15.13,3.88,19.01,12.1,No,0
VH101197,CNG,67.69,75.09,1.11,2.68,-1.61,1.07,2.14,Yes,1
VH102018,Petrol,29.8,713.4,23.94,28.61,-9.8,18.81,22.89,Yes,1
VH109562,CNG,38.53,322.64,8.37,9.4,-3.53,5.87,7.52,Yes,1
VH107088,CNG,49.75,501.81,10.09,12.06,-3.88,8.18,9.65,Yes,1
VH104612,Petrol,72.47,40.35,0.56,1.58,-4.1,-2.52,1.26,Yes,1
VH106238,Petrol,38.07,319.01,8.38,8.68,6.76,15.44,6.94,No,0
VH105298,CNG,5.55,857.49,154.5,153.83,-5.32,148.51,123.06,No,0
VH106031,Petrol,2.19,847.2,386.85,384.92,0.02,384.94,307.94,No,0
VH106239,Diesel,23.8,410.85,17.26,14.93,2.94,17.87,11.94,No,0
VH109555,Diesel,33.75,61.1,1.81,2.64,-1.95,0.69,2.11,Yes,1
VH106139,Petrol,78.91,40.11,0.51,3.54,-1.02,2.52,2.83,Yes,1
VH107933,CNG,28.4,940.29,33.11,31.69,0.08,31.77,25.35,No,0
VH105955,Diesel,68.98,971.21,14.08,20.51,-2.65,17.86,16.41,No,0
VH108823,CNG,32.98,771.47,23.39,29.42,-8.41,21.01,23.54,Yes,1
VH106237,Petrol,70.34,30.51,0.43,0.47,-4.26,-3.79,0.38,Yes,1
VH106443,Diesel,36.63,527.99,14.41,12.63,-2.3,10.33,10.1,No,0
VH109221,Petrol,78.94,941.94,11.93,15.98,-4.53,11.45,12.78,Yes,1
VH102131,Petrol,37.95,238.52,6.29,6.39,-2.68,3.71,5.11,Yes,1
VH106656,Petrol,76.12,499.66,6.56,6.95,-2.28,4.67,5.56,Yes,1
VH106271,Diesel,9.02,203.57,22.57,23.9,-7.97,15.93,19.12,Yes,1
VH102885,Petrol,66.17,542.84,8.2,7.69,-4.98,2.71,6.15,Yes,1
VH106913,CNG,73.73,73.66,1.0,-0.09,4.84,4.75,-0.07,No,0
VH104093,CNG,56.77,237.94,4.19,0.65,7.13,7.78,0.52,No,0
VH103626,Diesel,23.61,128.39,5.44,6.43,-2.56,3.87,5.14,Yes,1
VH107497,CNG,44.28,976.14,22.04,25.91,-1.33,24.58,20.73,No,0
VH107800,Diesel,45.58,29.69,0.65,1.64,6.46,8.1,1.31,No,0
VH101522,Petrol,63.82,839.13,13.15,16.98,-8.27,8.71,13.58,Yes,1
VH107634,Petrol,58.07,369.07,6.36,8.62,-3.69,4.93,6.9,Yes,1
VH107864,CNG,42.67,125.97,2.95,4.11,-4.05,0.06,3.29,Yes,1
VH101615,CNG,58.82,349.14,5.94,3.86,-3.43,0.43,3.09,Yes,1
VH104290,CNG,41.94,747.03,17.81,15.74,3.96,19.7,12.59,No,0
VH106896,Petrol,7.23,91.24,12.62,13.36,-4.67,8.69,10.69,Yes,1
VH107932,CNG,43.63,878.47,20.13,21.76,-4.71,17.05,17.41,Yes,1
VH109670,Diesel,40.89,48.7,1.19,-0.17,2.36,2.19,-0.14,No,0
VH106874,CNG,66.4,479.27,7.22,6.46,-3.24,3.22,5.17,Yes,1
VH107340,Petrol,53.46,389.41,7.28,9.42,-5.49,3.93,7.54,Yes,1
VH109689,CNG,30.97,854.22,27.58,31.81,-10.13,21.68,25.45,Yes,1
VH105903,CNG,53.19,717.02,13.48,14.21,-1.65,12.56,11.37,No,0
VH104326,Petrol,60.9,33.49,0.55,0.96,-5.26,-4.3,0.77,Yes,1
VH104160,CNG,72.9,649.48,8.91,9.84,0.57,10.41,7.87,No,0
VH103422,CNG,19.79,605.45,30.59,30.69,5.29,35.98,24.55,No,0
VH105449,CNG,79.51,923.46,11.61,13.86,-1.47,12.39,11.09,No,0
VH105852,Diesel,50.82,60.02,1.18,-0.46,-0.27,-0.73,-0.37,Yes,1
VH105454,Petrol,65.52,632.52,9.65,11.56,-5.75,5.81,9.25,Yes,1
VH109885,Diesel,71.4,124.48,1.74,3.28,-2.86,0.42,2.62,Yes,1
VH101276,Petrol,21.94,227.72,10.38,12.18,-3.62,8.56,9.74,Yes,1
VH106633,Petrol,71.01,123.29,1.74,1.65,-2.56,-0.91,1.32,Yes,1
VH100663,Diesel,47.14,391.12,8.3,4.79,0.48,5.27,3.83,No,0
VH109721,CNG,9.46,305.62,32.31,35.3,-7.26,28.04,28.24,Yes,1
VH109543,Diesel,24.22,686.16,28.33,30.16,-4.88,25.28,24.13,No,0
VH108534,Diesel,37.93,126.83,3.34,4.06,-0.81,3.25,3.25,No,0
VH109859,Diesel,67.7,641.71,9.48,9.72,-1.86,7.86,7.78,No,0
VH109449,Diesel,76.61,311.98,4.07,4.43,-1.9,2.53,3.54,Yes,1
VH107572,Petrol,10.56,551.44,52.22,55.24,-2.84,52.4,44.19,No,0
VH103735,Diesel,78.6,891.26,11.34,11.51,5.25,16.76,9.21,No,0
VH100027,Diesel,6.12,661.31,108.06,108.77,-6.65,102.12,87.02,No,0
VH105929,Petrol,70.09,298.24,4.26,3.16,-2.15,1.01,2.53,Yes,1
VH108772,Petrol,61.92,617.17,9.97,9.67,2.87,12.54,7.74,No,0
VH100352,Petrol,24.43,651.32,26.66,25.03,-0.94,24.09,20.02,No,0
VH103318,CNG,68.91,701.03,10.17,10.0,-0.43,9.57,8.0,No,0
VH101412,Petrol,68.81,713.99,10.38,14.23,-8.47,5.76,11.38,Yes,1
VH101749,CNG,33.82,199.31,5.89,5.63,1.91,7.54,4.5,No,0
VH104878,Petrol,58.21,503.57,8.65,11.03,2.46,13.49,8.82,No,0
VH109434,CNG,73.72,295.89,4.01,4.15,-2.43,1.72,3.32,Yes,1
VH105770,CNG,38.85,162.01,4.17,3.52,-4.82,-1.3,2.82,Yes,1
VH101525,CNG,79.89,639.29,8.0,8.58,3.19,11.77,6.86,No,0
VH104234,Diesel,59.29,731.94,12.35,10.63,-0.25,10.38,8.5,No,0
VH106248,CNG,30.17,201.44,6.68,6.33,-3.8,2.53,5.06,Yes,1
VH106179,Petrol,4.4,321.06,72.97,70.44,7.38,77.82,56.35,No,0
VH104734,Petrol,60.21,405.03,6.73,3.14,6.28,9.42,2.51,No,0
VH101042,CNG,35.35,54.76,1.55,3.76,-2.48,1.28,3.01,Yes,1
VH108974,Diesel,63.6,289.72,4.56,4.75,-5.71,-0.96,3.8,Yes,1
VH106743,CNG,78.83,561.04,7.12,4.9,1.83,6.73,3.92,No,0
VH107017,Petrol,67.26,449.34,6.68,9.36,-4.39,4.97,7.49,Yes,1
VH102288,Petrol,75.98,724.32,9.53,10.07,6.34,16.41,8.06,No,0
VH104213,Petrol,33.38,264.53,7.92,7.86,-5.25,2.61,6.29,Yes,1
VH100950,CNG,13.44,949.28,70.63,70.49,-2.29,68.2,56.39,No,0
VH103048,Petrol,69.88,50.14,0.72,-0.05,-1.61,-1.66,-0.04,Yes,1
VH107276,Diesel,59.78,311.66,5.21,5.01,-0.12,4.89,4.01,No,0
VH108552,Diesel,65.28,384.38,5.89,6.08,-6.65,-0.57,4.86,Yes,1
VH109959,Diesel,32.29,727.06,22.52,23.3,2.78,26.08,18.64,No,0
VH105921,Petrol,48.4,702.73,14.52,14.67,1.09,15.76,11.74,No,0
VH108783,Petrol,23.92,727.41,30.41,33.66,-3.01,30.65,26.93,No,0
VH107773,CNG,31.34,371.99,11.87,11.03,3.71,14.74,8.82,No,0
VH105448,Diesel,39.13,518.65,13.25,11.48,4.85,16.33,9.18,No,0
VH109705,Petrol,41.47,433.35,10.45,9.05,-3.78,5.27,7.24,Yes,1
VH101327,Petrol,33.88,26.36,0.78,2.92,-5.37,-2.45,2.34,Yes,1
VH106609,CNG,32.09,409.7,12.77,12.11,-4.61,7.5,9.69,Yes,1
VH100627,Diesel,28.71,878.7,30.61,33.56,-0.43,33.13,26.85,No,0
VH100539,Diesel,38.45,604.4,15.72,13.12,1.59,14.71,10.5,No,0
VH102752,CNG,12.0,583.21,48.6,52.85,-0.16,52.69,42.28,No,0
VH100846,Diesel,18.5,727.49,39.32,43.48,-1.82,41.66,34.78,No,0
VH107570,Petrol,77.45,250.74,3.24,1.16,-1.68,-0.52,0.93,Yes,1
VH101759,CNG,24.37,515.75,21.16,23.57,-4.78,18.79,18.86,Yes,1
VH101569,Diesel,34.78,312.84,8.99,7.68,-2.84,4.84,6.14,Yes,1
VH100060,CNG,74.76,36.53,0.49,0.59,-3.01,-2.42,0.47,Yes,1
VH108059,Diesel,23.51,140.33,5.97,5.38,-0.41,4.97,4.3,No,0
VH107582,Petrol,61.01,108.56,1.78,0.64,-0.94,-0.3,0.51,Yes,1
VH109285,CNG,55.77,425.72,7.63,9.18,-2.4,6.78,7.34,Yes,1
VH106344,Diesel,30.32,316.41,10.44,8.1,-4.24,3.86,6.48,Yes,1
VH104018,Petrol,5.03,431.11,85.71,85.87,0.42,86.29,68.7,No,0
VH108355,CNG,58.52,894.0,15.28,13.73,-0.96,12.77,10.98,No,0
VH100337,CNG,46.53,283.01,6.08,5.18,-3.83,1.35,4.14,Yes,1
VH108400,Diesel,79.07,463.42,5.86,6.91,0.44,7.35,5.53,No,0
VH101197,CNG,67.69,75.09,1.11,2.68,-1.61,1.07,2.14,Yes,1
VH102002,Diesel,66.84,891.29,13.33,14.83,-4.67,10.16,11.86,Yes,1
VH109030,Petrol,34.68,958.18,27.63,27.47,2.07,29.54,21.98,No,0
VH106191,Diesel,13.97,373.25,26.72,28.25,-6.71,21.54,22.6,Yes,1
VH109112,Diesel,16.58,475.35,28.67,30.74,-3.27,27.47,24.59,No,0
VH102937,Petrol,47.65,476.87,10.01,10.16,-3.93,6.23,8.13,Yes,1
VH102710,Diesel,4.61,157.71,34.21,35.95,-1.42,34.53,28.76,No,0
VH106212,Petrol,53.57,711.88,13.29,11.44,-3.01,8.43,9.15,Yes,1
VH101892,Petrol,74.54,27.54,0.37,0.59,-1.82,-1.23,0.47,Yes,1
VH104997,CNG,75.84,317.62,4.19,5.04,-2.25,2.79,4.03,Yes,1
VH105525,Petrol,61.61,142.41,2.31,-0.88,6.3,5.42,-0.7,No,0
VH109161,Petrol,9.22,979.02,106.18,106.25,0.74,106.99,85.0,No,0
VH103375,Petrol,32.27,989.26,30.66,30.09,1.79,31.88,24.07,No,0
VH108698,Diesel,19.66,893.9,45.47,43.95,-3.06,40.89,35.16,No,0
VH105006,Petrol,4.5,961.98,213.77,216.2,-5.03,211.17,172.96,No,0
VH103893,Petrol,40.52,551.35,13.61,15.0,-3.31,11.69,12.0,Yes,1
VH107016,CNG,7.67,801.26,104.47,107.11,-1.53,105.58,85.69,No,0
VH105307,CNG,20.38,231.1,11.34,11.37,-2.03,9.34,9.1,No,0
VH100241,CNG,34.82,552.67,15.87,17.01,-4.07,12.94,13.61,Yes,1
VH108655,Diesel,77.82,833.64,10.71,10.81,-4.13,6.68,8.65,Yes,1
VH108851,Petrol,47.51,156.15,3.29,3.47,-2.79,0.68,2.78,Yes,1
VH102041,CNG,32.79,532.69,16.25,17.22,2.1,19.32,13.78,No,0
VH100381,Diesel,41.35,335.75,8.12,5.77,2.48,8.25,4.62,No,0
VH100581,Petrol,30.26,410.29,13.56,13.03,-3.38,9.65,10.42,Yes,1
VH100245,Diesel,47.4,205.45,4.33,9.01,-3.92,5.09,7.21,Yes,1
VH100898,CNG,76.28,60.25,0.79,-1.44,-0.11,-1.55,-1.15,Yes,1
VH106535,Petrol,68.41,869.45,12.71,12.88,-1.72,11.16,10.3,No,0
VH109611,Diesel,67.62,291.91,4.32,5.15,-5.44,-0.29,4.12,Yes,1
VH106051,CNG,12.4,233.64,18.84,19.7,1.44,21.14,15.76,No,0
VH107582,Petrol,61.01,108.56,1.78,0.64,-0.94,-0.3,0.51,Yes,1
VH101312,Petrol,54.32,55.46,1.02,1.77,-0.72,1.05,1.42,Yes,1
VH103391,Petrol,8.99,957.53,106.51,108.46,-2.88,105.58,86.77,No,0
VH100269,CNG,25.78,98.32,3.81,2.48,-3.33,-0.85,1.98,Yes,1
VH103540,Diesel,47.7,784.32,16.44,15.0,7.22,22.22,12.0,No,0
VH108201,Diesel,41.71,487.54,11.69,12.13,1.55,13.68,9.7,No,0
VH100916,Diesel,78.8,277.57,3.52,4.37,1.18,5.55,3.5,No,0
VH108830,CNG,33.1,442.49,13.37,15.12,-0.31,14.81,12.1,No,0
VH107637,Diesel,65.23,151.4,2.32,2.41,1.38,3.79,1.93,No,0
VH101828,Diesel,54.74,124.58,2.28,1.19,-1.16,0.03,0.95,Yes,1
VH106061,CNG,8.94,481.01,53.8,54.81,2.81,57.62,43.85,No,0
VH102050,Diesel,70.5,581.3,8.25,11.5,-3.96,7.54,9.2,Yes,1
VH106140,Petrol,61.83,787.6,12.74,13.16,0.82,13.98,10.53,No,0
VH109526,Diesel,33.19,227.14,6.84,3.97,-3.37,0.6,3.18,Yes,1
VH107932,CNG,43.63,878.47,20.13,21.76,-4.71,17.05,17.41,Yes,1
VH109621,CNG,29.02,818.67,28.21,28.27,-1.39,26.88,22.62,No,0
VH101798,CNG,9.65,64.66,6.7,5.68,-5.13,0.55,4.54,Yes,1
VH105763,Diesel,19.7,757.04,38.43,38.96,-1.9,37.06,31.17,No,0
VH108220,Petrol,35.3,433.68,12.29,12.55,-0.89,11.66,10.04,No,0
VH105353,Petrol,66.05,609.77,9.23,8.69,-3.56,5.13,6.95,Yes,1
VH106998,Petrol,75.21,783.3,10.41,11.37,-0.24,11.13,9.1,No,0
VH101560,CNG,20.73,20.25,0.98,4.82,-7.94,-3.12,3.86,Yes,1
VH107196,Petrol,64.84,133.61,2.06,4.15,-4.57,-0.42,3.32,Yes,1
VH106337,CNG,15.9,41.88,2.63,4.46,-5.95,-1.49,3.57,Yes,1
VH101061,Petrol,28.0,145.23,5.19,3.75,2.35,6.1,3.0,No,0
VH103424,CNG,12.17,235.91,19.38,19.11,-0.24,18.87,15.29,No,0
VH104204,Diesel,74.76,440.35,5.89,6.07,-2.06,4.01,4.86,Yes,1
VH105183,CNG,31.32,972.88,31.06,30.79,2.44,33.23,24.63,No,0
VH100800,Petrol,25.36,504.1,19.88,15.28,6.24,21.52,12.22,No,0
